0	0	
1	4246	
2	4405	
3	4384	
4	4609	
5	4692	
6	4800	
7	4826	
8	4974	
9	5169	
10	5313	
11	5361	
12	5697	
13	5705	
14	5953	
15	6109	
16	6310	
17	6529	
18	6704	
19	6975	
20	7356	
21	7598	
22	7809	
23	8115	
24	8448	
25	8805	
26	9170	
27	9678	
28	9974	
29	10288	
30	10787	
31	11334	
32	11743	
33	12117	
34	12829	
35	13220	
36	14144	
37	14606	
38	15444	
39	15913	
40	16632	
41	17493	
42	17998	
43	18813	
44	19548	
45	20380	
46	21394	
47	22088	
48	22923	
49	24088	
50	25200	
51	26065	
52	27311	
53	28099	
54	29285	
55	30221	
56	31288	
57	32759	
58	33657	
59	34876	
60	35753	
61	37080	
62	38636	
63	39608	
64	40618	
65	42289	
66	42991	
67	44588	
68	45840	
69	46837	
70	48349	
71	49131	
72	50845	
73	51708	
74	52995	
75	53856	
76	55335	
77	56140	
78	57173	
79	58418	
80	59504	
81	61172	
82	61565	
83	62727	
84	63822	
85	64926	
86	65660	
87	66287	
88	66980	
89	68434	
90	68435	
91	69611	
92	70067	
93	70941	
94	71505	
95	71604	
96	72500	
97	72538	
98	72963	
99	73500	
100	73513	
101	74416	
102	74818	
103	74361	
104	75319	
105	75103	
106	75264	
107	75241	
108	74996	
109	74962	
110	74833	
111	74814	
112	74640	
113	74556	
114	74784	
115	74285	
116	73233	
117	73577	
118	73218	
119	72654	
120	72497	
121	72122	
122	71393	
123	71184	
124	70600	
125	70410	
126	69418	
127	69102	
128	69028	
129	68018	
130	67885	
131	66572	
132	65910	
133	65762	
134	65266	
135	64429	
136	63945	
137	63327	
138	63094	
139	61889	
140	61966	
141	60972	
142	60079	
143	59303	
144	58839	
145	58516	
146	58053	
147	57412	
148	56701	
149	56027	
150	55952	
151	54634	
152	53902	
153	53634	
154	52930	
155	52130	
156	51965	
157	51028	
158	50292	
159	49830	
160	49773	
161	48947	
162	48168	
163	47845	
164	47368	
165	46754	
166	45966	
167	45568	
168	44933	
169	44516	
170	44127	
171	43746	
172	43041	
173	42854	
174	42292	
175	41371	
176	41212	
177	40948	
178	40734	
179	39840	
180	39413	
181	39122	
182	38656	
183	38216	
184	37813	
185	37432	
186	36912	
187	36558	
188	36168	
189	35674	
190	35746	
191	35245	
192	34924	
193	34423	
194	34077	
195	33913	
196	33639	
197	33227	
198	32675	
199	32207	
200	32432	
201	32046	
202	31855	
203	31277	
204	30847	
205	30941	
206	30843	
207	30331	
208	30097	
209	29872	
210	29739	
211	28868	
212	29148	
213	28656	
214	28440	
215	28234	
216	28108	
217	27817	
218	27782	
219	27428	
220	27478	
221	27198	
222	26623	
223	26918	
224	26752	
225	26406	
226	26062	
227	25952	
228	25687	
229	25617	
230	25271	
231	25375	
232	24922	
233	24932	
234	24657	
235	24701	
236	24402	
237	24583	
238	24463	
239	24047	
240	24140	
241	23951	
242	23754	
243	23650	
244	23440	
245	23251	
246	23162	
247	23314	
248	22970	
249	22872	
250	22766	
251	22407	
252	22615	
253	22427	
254	22609	
255	22435	
256	22311	
257	22391	
258	22124	
259	22025	
260	22044	
261	21676	
262	21753	
263	21440	
264	21762	
265	21514	
266	21638	
267	21508	
268	21557	
269	21542	
270	21231	
271	21215	
272	21157	
273	21155	
274	21075	
275	21367	
276	21113	
277	20966	
278	21062	
279	20773	
280	20881	
281	20579	
282	20890	
283	20730	
284	20593	
285	20957	
286	20658	
287	20911	
288	20552	
289	20597	
290	20676	
291	20422	
292	20516	
293	19965	
294	20535	
295	20689	
296	20509	
297	20574	
298	20541	
299	20756	
300	20453	
301	20436	
302	20404	
303	20540	
304	20418	
305	20614	
306	20579	
307	20412	
308	20372	
309	20303	
310	20438	
311	20487	
312	20435	
313	20275	
314	20586	
315	20402	
316	20464	
317	20741	
318	20687	
319	20473	
320	20514	
321	20545	
322	20836	
323	20492	
324	20961	
325	20788	
326	20674	
327	20390	
328	20803	
329	20656	
330	21158	
331	20760	
332	20712	
333	20937	
334	20811	
335	20731	
336	21227	
337	21065	
338	20649	
339	21035	
340	20997	
341	21022	
342	21330	
343	21413	
344	21312	
345	21281	
346	21611	
347	21200	
348	21560	
349	21642	
350	21249	
351	21454	
352	21558	
353	21594	
354	21685	
355	21607	
356	21855	
357	22023	
358	21842	
359	21862	
360	21847	
361	21733	
362	21865	
363	21669	
364	22004	
365	22153	
366	22004	
367	22352	
368	22135	
369	22078	
370	22579	
371	22394	
372	22615	
373	22467	
374	22583	
375	22719	
376	22626	
377	22643	
378	22794	
379	22625	
380	22795	
381	22927	
382	23117	
383	23309	
384	22940	
385	23352	
386	23038	
387	23272	
388	23556	
389	23380	
390	23520	
391	23346	
392	23614	
393	23653	
394	23765	
395	23733	
396	23722	
397	23635	
398	23936	
399	24143	
400	23965	
401	24191	
402	24072	
403	24187	
404	24367	
405	24349	
406	24642	
407	24451	
408	24618	
409	24347	
410	24685	
411	24763	
412	24851	
413	25106	
414	24886	
415	25175	
416	24988	
417	24969	
418	24784	
419	25205	
420	25343	
421	25415	
422	25444	
423	25650	
424	25264	
425	25799	
426	25547	
427	25989	
428	25757	
429	25896	
430	25664	
431	25791	
432	25926	
433	26335	
434	25768	
435	26185	
436	26413	
437	26322	
438	26319	
439	26871	
440	26492	
441	26563	
442	26832	
443	26630	
444	26758	
445	26701	
446	26698	
447	26929	
448	26974	
449	27252	
450	27445	
451	27236	
452	27299	
453	27512	
454	27619	
455	27560	
456	27484	
457	27523	
458	27418	
459	27505	
460	27722	
461	27716	
462	28192	
463	28122	
464	28192	
465	28246	
466	28053	
467	28294	
468	28374	
469	28342	
470	28034	
471	28490	
472	28493	
473	28478	
474	28677	
475	28787	
476	28569	
477	28747	
478	28733	
479	28929	
480	28750	
481	29197	
482	29136	
483	29358	
484	29253	
485	29278	
486	29252	
487	29457	
488	29565	
489	29473	
490	29317	
491	29760	
492	29451	
493	29597	
494	29666	
495	30016	
496	29743	
497	29829	
498	29770	
499	30094	
500	29926	
501	29999	
502	29961	
503	30249	
504	29892	
505	30403	
506	30558	
507	30443	
508	30312	
509	30349	
510	30124	
511	30477	
512	30609	
513	30480	
514	30737	
515	30653	
516	31125	
517	30899	
518	30911	
519	30597	
520	30985	
521	30733	
522	30996	
523	30885	
524	31122	
525	31204	
526	30965	
527	30824	
528	31283	
529	31099	
530	30808	
531	31212	
532	31105	
533	31257	
534	31181	
535	31525	
536	31492	
537	31197	
538	31716	
539	31120	
540	31561	
541	31448	
542	31545	
543	31669	
544	31367	
545	31698	
546	31648	
547	31556	
548	31473	
549	31438	
550	31560	
551	31900	
552	31740	
553	31824	
554	31686	
555	31613	
556	31785	
557	31853	
558	31616	
559	31787	
560	31496	
561	31797	
562	31833	
563	31839	
564	32042	
565	31898	
566	31623	
567	31923	
568	31844	
569	31955	
570	32130	
571	32135	
572	31657	
573	32114	
574	32197	
575	32102	
576	31818	
577	31732	
578	32091	
579	31997	
580	31526	
581	31877	
582	31710	
583	31722	
584	31998	
585	32060	
586	32106	
587	32032	
588	32018	
589	32238	
590	31922	
591	31988	
592	31855	
593	32042	
594	31341	
595	31928	
596	32147	
597	31753	
598	31941	
599	32016	
600	31886	
601	31899	
602	31565	
603	31824	
604	32001	
605	31649	
606	31996	
607	31710	
608	31691	
609	31825	
610	31893	
611	31974	
612	31893	
613	31868	
614	31366	
615	31472	
616	31429	
617	31426	
618	31966	
619	31833	
620	31886	
621	31732	
622	31220	
623	31248	
624	31571	
625	31793	
626	31524	
627	31566	
628	31491	
629	31628	
630	31093	
631	31337	
632	31270	
633	31094	
634	31499	
635	31094	
636	31488	
637	31467	
638	31137	
639	31007	
640	31381	
641	31035	
642	31156	
643	30968	
644	31119	
645	30977	
646	31101	
647	31186	
648	31105	
649	31123	
650	30897	
651	31218	
652	31163	
653	30729	
654	30978	
655	30784	
656	30966	
657	30591	
658	30932	
659	30692	
660	30715	
661	30651	
662	30649	
663	30648	
664	30781	
665	30504	
666	30509	
667	30370	
668	30513	
669	30107	
670	30534	
671	30451	
672	30170	
673	30172	
674	30456	
675	30613	
676	30567	
677	30056	
678	30342	
679	30324	
680	30155	
681	30005	
682	30127	
683	29947	
684	29911	
685	29813	
686	30182	
687	29654	
688	29959	
689	29722	
690	29998	
691	29829	
692	29464	
693	29513	
694	29686	
695	29504	
696	29902	
697	29488	
698	29595	
699	29158	
700	29627	
701	29481	
702	29130	
703	28994	
704	29541	
705	29238	
706	29256	
707	29177	
708	28947	
709	29052	
710	29265	
711	28889	
712	29013	
713	28848	
714	29197	
715	28840	
716	28788	
717	28559	
718	28829	
719	28688	
720	28781	
721	29089	
722	28615	
723	28470	
724	28757	
725	28791	
726	28354	
727	28614	
728	28436	
729	28454	
730	28696	
731	28271	
732	28300	
733	28235	
734	28156	
735	28025	
736	28195	
737	28360	
738	27956	
739	27819	
740	27738	
741	28104	
742	27770	
743	28084	
744	27839	
745	27894	
746	28053	
747	27863	
748	27983	
749	27793	
750	27646	
751	27704	
752	27716	
753	27605	
754	27739	
755	27921	
756	27603	
757	27233	
758	27505	
759	27871	
760	27232	
761	27694	
762	27506	
763	27146	
764	27469	
765	27159	
766	27280	
767	27209	
768	27010	
769	27456	
770	27437	
771	26795	
772	27150	
773	26879	
774	26961	
775	26884	
776	26927	
777	27076	
778	27190	
779	26790	
780	27017	
781	27070	
782	26688	
783	26974	
784	26545	
785	26501	
786	26860	
787	26742	
788	26528	
789	26862	
790	26408	
791	26791	
792	26739	
793	26629	
794	26862	
795	26563	
796	26476	
797	26420	
798	26240	
799	26158	
800	26188	
801	26241	
802	26060	
803	26305	
804	26183	
805	25944	
806	26293	
807	26398	
808	25975	
809	25917	
810	25852	
811	25778	
812	25953	
813	25842	
814	26255	
815	26013	
816	26037	
817	25662	
818	26197	
819	25729	
820	25537	
821	25804	
822	25767	
823	25974	
824	25653	
825	25995	
826	25878	
827	25519	
828	25455	
829	25528	
830	25581	
831	25726	
832	25835	
833	25807	
834	25704	
835	25760	
836	25641	
837	25807	
838	25789	
839	25620	
840	25570	
841	25695	
842	25531	
843	25233	
844	25724	
845	25511	
846	25188	
847	25336	
848	25600	
849	25150	
850	25153	
851	25091	
852	25120	
853	25471	
854	25405	
855	25170	
856	25158	
857	24933	
858	25288	
859	24884	
860	25057	
861	25230	
862	25287	
863	24924	
864	25203	
865	25126	
866	25181	
867	24946	
868	25236	
869	25339	
870	25135	
871	25060	
872	25037	
873	25093	
874	25041	
875	25121	
876	25027	
877	24826	
878	24745	
879	25015	
880	24765	
881	24709	
882	24927	
883	25202	
884	24984	
885	24983	
886	25066	
887	24836	
888	24657	
889	24869	
890	24987	
891	25084	
892	24969	
893	24766	
894	25024	
895	24880	
896	24577	
897	25048	
898	24942	
899	24728	
900	24777	
901	24881	
902	24837	
903	24648	
904	24672	
905	24992	
906	24532	
907	24309	
908	24999	
909	24739	
910	24503	
911	24627	
912	24723	
913	24492	
914	24742	
915	24609	
916	24277	
917	24595	
918	24479	
919	24825	
920	24747	
921	24722	
922	24661	
923	24349	
924	24615	
925	24454	
926	24557	
927	24508	
928	24521	
929	24385	
930	24878	
931	24823	
932	24476	
933	24665	
934	24780	
935	24670	
936	24579	
937	24506	
938	24580	
939	24465	
940	24839	
941	24447	
942	24843	
943	24570	
